"","lon","lat","id","owner","taken","upload","views","tags","title","imageURL","device"
"336","-78.710184","35.795508","37896993042","89333651@N00","2017-10-18 22:03:29","2017-10-25 16:42:43","9","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4448/37896993042_66e854faa0.jpg","samsung SM-G955U1"
"337","-78.711987","35.795138","37218440234","89333651@N00","2017-10-18 20:36:00","2017-10-25 16:42:44","10","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4475/37218440234_bf74789e2e.jpg","samsung SM-G955U1"
"338","-78.715125","35.795966","37218437934","89333651@N00","2017-10-18 20:52:42","2017-10-25 16:42:45","12","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4492/37218437934_eb65b8d5b3.jpg","samsung SM-G955U1"
"339","-78.715125","35.795966","37896985292","89333651@N00","2017-10-18 20:52:49","2017-10-25 16:42:45","10","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4500/37896985292_f75ebf2a84.jpg","samsung SM-G955U1"
"340","-78.712764","35.796827","37896982982","89333651@N00","2017-10-18 21:44:05","2017-10-25 16:42:46","16","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4458/37896982982_6c55585761.jpg","samsung SM-G955U1"
"341","-78.713014","35.795550","37896979922","89333651@N00","2017-10-18 21:10:53","2017-10-25 16:42:48","11","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4449/37896979922_fba087c762.jpg","samsung SM-G955U1"
"342","-78.713014","35.795550","37896976752","89333651@N00","2017-10-18 21:12:34","2017-10-25 16:42:49","8","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4449/37896976752_04d129b692.jpg","samsung SM-G955U1"
"343","-78.713014","35.795550","26152424989","89333651@N00","2017-10-18 21:13:49","2017-10-25 16:42:50","8","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4496/26152424989_15772d49f8.jpg","samsung SM-G955U1"
"344","-78.713014","35.795550","26152418219","89333651@N00","2017-10-18 21:18:35","2017-10-25 16:42:51","8","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4479/26152418219_b1339d10a7.jpg","samsung SM-G955U1"
"345","-78.713014","35.795550","26152415159","89333651@N00","2017-10-18 21:26:32","2017-10-25 16:42:52","12","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4507/26152415159_d1bb9a01cd.jpg","samsung SM-G955U1"
"346","-78.712625","35.797025","26152409159","89333651@N00","2017-10-18 21:46:43","2017-10-25 16:42:53","11","ncstatefair raleigh 2017","2017 NC State Fair, Raleigh","https://farm5.staticflickr.com/4451/26152409159_f46e6e50d7.jpg","samsung SM-G955U1"
